local_datetime,segment_id,crosswalk,direction,volume
06/23/2025,Washington Street and Avenue 52,South Crosswalk,eb,4
06/24/2025,Washington Street and Avenue 52,South Crosswalk,wb,8
06/24/2025,Washington Street and Avenue 52,South Crosswalk,eb,12
06/25/2025,Washington Street and Avenue 52,South Crosswalk,wb,13
06/25/2025,Washington Street and Avenue 52,South Crosswalk,eb,18
06/26/2025,Washington Street and Avenue 52,South Crosswalk,wb,9
06/26/2025,Washington Street and Avenue 52,South Crosswalk,eb,10
06/27/2025,Washington Street and Avenue 52,South Crosswalk,wb,9
06/27/2025,Washington Street and Avenue 52,South Crosswalk,eb,13
06/28/2025,Washington Street and Avenue 52,South Crosswalk,wb,9
06/28/2025,Washington Street and Avenue 52,South Crosswalk,eb,15
06/29/2025,Washington Street and Avenue 52,South Crosswalk,wb,13
06/29/2025,Washington Street and Avenue 52,South Crosswalk,eb,15
06/30/2025,Washington Street and Avenue 52,South Crosswalk,wb,2
06/30/2025,Washington Street and Avenue 52,South Crosswalk,eb,3
06/01/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/01/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/02/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/02/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/03/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/03/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/04/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/04/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/05/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/05/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/06/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/06/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/07/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/07/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/08/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/08/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/09/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/09/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/10/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/10/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/11/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/11/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/12/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/12/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/13/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/13/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/14/2025,Washington Street and Calle Tampico,North Crosswalk,eb,
06/14/2025,Washington Street and Calle Tampico,North Crosswalk,wb,
06/15/2025,Washington Street and Calle Tampico,North Crosswalk,eb,0
06/15/2025,Washington Street and Calle Tampico,North Crosswalk,wb,0
06/16/2025,Washington Street and Calle Tampico,North Crosswalk,eb,4
06/16/2025,Washington Street and Calle Tampico,North Crosswalk,wb,3
06/17/2025,Washington Street and Calle Tampico,North Crosswalk,eb,3
06/17/2025,Washington Street and Calle Tampico,North Crosswalk,wb,0
06/18/2025,Washington Street and Calle Tampico,North Crosswalk,eb,2
06/18/2025,Washington Street and Calle Tampico,North Crosswalk,wb,0
06/19/2025,Washington Street and Calle Tampico,North Crosswalk,eb,2
06/19/2025,Washington Street and Calle Tampico,North Crosswalk,wb,2
06/20/2025,Washington Street and Calle Tampico,North Crosswalk,eb,4
06/20/2025,Washington Street and Calle Tampico,North Crosswalk,wb,5
06/21/2025,Washington Street and Calle Tampico,North Crosswalk,eb,3
06/21/2025,Washington Street and Calle Tampico,North Crosswalk,wb,6
06/22/2025,Washington Street and Calle Tampico,North Crosswalk,eb,8
06/22/2025,Washington Street and Calle Tampico,North Crosswalk,wb,1
06/23/2025,Washington Street and Calle Tampico,North Crosswalk,eb,4
06/23/2025,Washington Street and Calle Tampico,North Crosswalk,wb,10
06/24/2025,Washington Street and Calle Tampico,North Crosswalk,eb,4
06/24/2025,Washington Street and Calle Tampico,North Crosswalk,wb,9
06/25/2025,Washington Street and Calle Tampico,North Crosswalk,eb,9
06/25/2025,Washington Street and Calle Tampico,North Crosswalk,wb,6
06/26/2025,Washington Street and Calle Tampico,North Crosswalk,eb,5
06/26/2025,Washington Street and Calle Tampico,North Crosswalk,wb,7
06/27/2025,Washington Street and Calle Tampico,North Crosswalk,eb,7
06/27/2025,Washington Street and Calle Tampico,North Crosswalk,wb,3
06/28/2025,Washington Street and Calle Tampico,North Crosswalk,eb,7
06/28/2025,Washington Street and Calle Tampico,North Crosswalk,wb,4
06/29/2025,Washington Street and Calle Tampico,North Crosswalk,eb,6
06/29/2025,Washington Street and Calle Tampico,North Crosswalk,wb,5
06/30/2025,Washington Street and Calle Tampico,North Crosswalk,eb,2
06/30/2025,Washington Street and Calle Tampico,North Crosswalk,wb,5
06/01/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/01/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/02/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/02/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/03/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/03/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/04/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/04/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/05/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/05/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/06/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/06/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/07/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
