local_datetime,segment_id,direction,turn_type,volume
6/27/2025,Washington and Calle Tampico,eb,Left,361
6/28/2025,Washington and Calle Tampico,eb,Right,3893
6/28/2025,Washington and Calle Tampico,eb,Through,5644
6/28/2025,Washington and Calle Tampico,eb,Left,294
6/29/2025,Washington and Calle Tampico,eb,Right,3126
6/29/2025,Washington and Calle Tampico,eb,Through,4598
6/29/2025,Washington and Calle Tampico,eb,Left,254
6/30/2025,Washington and Calle Tampico,eb,Right,4454
6/30/2025,Washington and Calle Tampico,eb,Through,7009
6/30/2025,Washington and Calle Tampico,eb,Left,320
6/15/2025,Washington and Calle Tampico,sb,Right,0
6/15/2025,Washington and Calle Tampico,sb,Through,0
6/15/2025,Washington and Calle Tampico,sb,Left,0
6/16/2025,Washington and Calle Tampico,sb,Right,367
6/16/2025,Washington and Calle Tampico,sb,Through,231
6/16/2025,Washington and Calle Tampico,sb,Left,1252
6/17/2025,Washington and Calle Tampico,sb,Right,427
6/17/2025,Washington and Calle Tampico,sb,Through,239
6/17/2025,Washington and Calle Tampico,sb,Left,1226
6/18/2025,Washington and Calle Tampico,sb,Right,312
6/18/2025,Washington and Calle Tampico,sb,Through,278
6/18/2025,Washington and Calle Tampico,sb,Left,1378
6/19/2025,Washington and Calle Tampico,sb,Right,335
6/19/2025,Washington and Calle Tampico,sb,Through,210
6/19/2025,Washington and Calle Tampico,sb,Left,1146
6/20/2025,Washington and Calle Tampico,sb,Right,443
6/20/2025,Washington and Calle Tampico,sb,Through,267
6/20/2025,Washington and Calle Tampico,sb,Left,1301
6/21/2025,Washington and Calle Tampico,sb,Right,307
6/21/2025,Washington and Calle Tampico,sb,Through,173
6/21/2025,Washington and Calle Tampico,sb,Left,1101
6/22/2025,Washington and Calle Tampico,sb,Right,230
6/22/2025,Washington and Calle Tampico,sb,Through,144
6/22/2025,Washington and Calle Tampico,sb,Left,891
6/23/2025,Washington and Calle Tampico,sb,Right,935
6/23/2025,Washington and Calle Tampico,sb,Through,554
6/23/2025,Washington and Calle Tampico,sb,Left,2793
6/24/2025,Washington and Calle Tampico,sb,Right,1382
6/24/2025,Washington and Calle Tampico,sb,Through,753
6/24/2025,Washington and Calle Tampico,sb,Left,3662
6/25/2025,Washington and Calle Tampico,sb,Right,1151
6/25/2025,Washington and Calle Tampico,sb,Through,723
6/25/2025,Washington and Calle Tampico,sb,Left,3774
6/26/2025,Washington and Calle Tampico,sb,Right,1016
6/26/2025,Washington and Calle Tampico,sb,Through,743
6/26/2025,Washington and Calle Tampico,sb,Left,3540
6/27/2025,Washington and Calle Tampico,sb,Right,1195
6/27/2025,Washington and Calle Tampico,sb,Through,800
6/27/2025,Washington and Calle Tampico,sb,Left,3650
6/28/2025,Washington and Calle Tampico,sb,Right,1041
6/28/2025,Washington and Calle Tampico,sb,Through,576
6/28/2025,Washington and Calle Tampico,sb,Left,3296
6/29/2025,Washington and Calle Tampico,sb,Right,697
6/29/2025,Washington and Calle Tampico,sb,Through,465
6/29/2025,Washington and Calle Tampico,sb,Left,2547
6/30/2025,Washington and Calle Tampico,sb,Right,1189
6/30/2025,Washington and Calle Tampico,sb,Through,726
6/30/2025,Washington and Calle Tampico,sb,Left,3609
6/15/2025,Washington and Calle Tampico,nb,Right,0
6/15/2025,Washington and Calle Tampico,nb,Through,7
6/15/2025,Washington and Calle Tampico,nb,Left,0
6/16/2025,Washington and Calle Tampico,nb,Right,378
6/16/2025,Washington and Calle Tampico,nb,Through,2228
6/16/2025,Washington and Calle Tampico,nb,Left,219
6/17/2025,Washington and Calle Tampico,nb,Right,408
6/17/2025,Washington and Calle Tampico,nb,Through,2371
6/17/2025,Washington and Calle Tampico,nb,Left,236
6/18/2025,Washington and Calle Tampico,nb,Right,524
6/18/2025,Washington and Calle Tampico,nb,Through,2205
6/18/2025,Washington and Calle Tampico,nb,Left,223
6/19/2025,Washington and Calle Tampico,nb,Right,638
6/19/2025,Washington and Calle Tampico,nb,Through,2305
6/19/2025,Washington and Calle Tampico,nb,Left,196
6/20/2025,Washington and Calle Tampico,nb,Right,385
6/20/2025,Washington and Calle Tampico,nb,Through,2315
6/20/2025,Washington and Calle Tampico,nb,Left,276
6/21/2025,Washington and Calle Tampico,nb,Right,300
6/21/2025,Washington and Calle Tampico,nb,Through,1848
6/21/2025,Washington and Calle Tampico,nb,Left,186
6/22/2025,Washington and Calle Tampico,nb,Right,248
6/22/2025,Washington and Calle Tampico,nb,Through,1566
6/22/2025,Washington and Calle Tampico,nb,Left,171
6/23/2025,Washington and Calle Tampico,nb,Right,801
6/23/2025,Washington and Calle Tampico,nb,Through,4352
6/23/2025,Washington and Calle Tampico,nb,Left,453
6/24/2025,Washington and Calle Tampico,nb,Right,1257
6/24/2025,Washington and Calle Tampico,nb,Through,6862
6/24/2025,Washington and Calle Tampico,nb,Left,605
6/25/2025,Washington and Calle Tampico,nb,Right,1255
6/25/2025,Washington and Calle Tampico,nb,Through,6643
6/25/2025,Washington and Calle Tampico,nb,Left,612
6/26/2025,Washington and Calle Tampico,nb,Right,1303
6/26/2025,Washington and Calle Tampico,nb,Through,6801
6/26/2025,Washington and Calle Tampico,nb,Left,643
6/27/2025,Washington and Calle Tampico,nb,Right,1188
6/27/2025,Washington and Calle Tampico,nb,Through,6638
6/27/2025,Washington and Calle Tampico,nb,Left,612
6/28/2025,Washington and Calle Tampico,nb,Right,862
6/28/2025,Washington and Calle Tampico,nb,Through,5309
6/28/2025,Washington and Calle Tampico,nb,Left,544
6/29/2025,Washington and Calle Tampico,nb,Right,655
6/29/2025,Washington and Calle Tampico,nb,Through,4264
6/29/2025,Washington and Calle Tampico,nb,Left,431
6/30/2025,Washington and Calle Tampico,nb,Right,1130
6/30/2025,Washington and Calle Tampico,nb,Through,6375
6/30/2025,Washington and Calle Tampico,nb,Left,593
6/15/2025,Washington and Calle Tampico,wb,Right,0
6/15/2025,Washington and Calle Tampico,wb,Through,0
6/15/2025,Washington and Calle Tampico,wb,Left,0
6/16/2025,Washington and Calle Tampico,wb,Right,309
6/16/2025,Washington and Calle Tampico,wb,Through,122
6/16/2025,Washington and Calle Tampico,wb,Left,66
6/17/2025,Washington and Calle Tampico,wb,Right,295
6/17/2025,Washington and Calle Tampico,wb,Through,94
6/17/2025,Washington and Calle Tampico,wb,Left,58
6/18/2025,Washington and Calle Tampico,wb,Right,315
6/18/2025,Washington and Calle Tampico,wb,Through,96
6/18/2025,Washington and Calle Tampico,wb,Left,73
6/19/2025,Washington and Calle Tampico,wb,Right,315
6/19/2025,Washington and Calle Tampico,wb,Through,87
6/19/2025,Washington and Calle Tampico,wb,Left,41
6/20/2025,Washington and Calle Tampico,wb,Right,437
6/20/2025,Washington and Calle Tampico,wb,Through,143
6/20/2025,Washington and Calle Tampico,wb,Left,52
6/21/2025,Washington and Calle Tampico,wb,Right,219
6/21/2025,Washington and Calle Tampico,wb,Through,89
6/21/2025,Washington and Calle Tampico,wb,Left,70
6/22/2025,Washington and Calle Tampico,wb,Right,209
6/22/2025,Washington and Calle Tampico,wb,Through,59
6/22/2025,Washington and Calle Tampico,wb,Left,23
6/23/2025,Washington and Calle Tampico,wb,Right,694
6/23/2025,Washington and Calle Tampico,wb,Through,254
6/23/2025,Washington and Calle Tampico,wb,Left,122
6/24/2025,Washington and Calle Tampico,wb,Right,1072
6/24/2025,Washington and Calle Tampico,wb,Through,311
6/24/2025,Washington and Calle Tampico,wb,Left,143
6/25/2025,Washington and Calle Tampico,wb,Right,901
6/25/2025,Washington and Calle Tampico,wb,Through,312
6/25/2025,Washington and Calle Tampico,wb,Left,163
6/26/2025,Washington and Calle Tampico,wb,Right,1025
6/26/2025,Washington and Calle Tampico,wb,Through,333
6/26/2025,Washington and Calle Tampico,wb,Left,152
6/27/2025,Washington and Calle Tampico,wb,Right,945
6/27/2025,Washington and Calle Tampico,wb,Through,365
6/27/2025,Washington and Calle Tampico,wb,Left,159
6/28/2025,Washington and Calle Tampico,wb,Right,769
6/28/2025,Washington and Calle Tampico,wb,Through,279
6/28/2025,Washington and Calle Tampico,wb,Left,151
6/29/2025,Washington and Calle Tampico,wb,Right,574
6/29/2025,Washington and Calle Tampico,wb,Through,220
6/29/2025,Washington and Calle Tampico,wb,Left,107
6/30/2025,Washington and Calle Tampico,wb,Right,917
6/30/2025,Washington and Calle Tampico,wb,Through,330
6/30/2025,Washington and Calle Tampico,wb,Left,176
6/15/2025,Village Shopping Center,eb,Right,0
6/15/2025,Village Shopping Center,eb,Left,0
6/16/2025,Village Shopping Center,eb,Right,15
6/16/2025,Village Shopping Center,eb,Left,351
6/17/2025,Village Shopping Center,eb,Right,17
6/17/2025,Village Shopping Center,eb,Left,343
6/18/2025,Village Shopping Center,eb,Right,21
6/18/2025,Village Shopping Center,eb,Left,357
6/19/2025,Village Shopping Center,eb,Right,14
6/19/2025,Village Shopping Center,eb,Left,377
6/20/2025,Village Shopping Center,eb,Right,11
6/20/2025,Village Shopping Center,eb,Left,415
6/21/2025,Village Shopping Center,eb,Right,22
6/21/2025,Village Shopping Center,eb,Left,381
6/22/2025,Village Shopping Center,eb,Right,3
6/22/2025,Village Shopping Center,eb,Left,293
6/23/2025,Village Shopping Center,eb,Right,27
6/23/2025,Village Shopping Center,eb,Left,837
6/24/2025,Village Shopping Center,eb,Right,26
6/24/2025,Village Shopping Center,eb,Left,1094
6/25/2025,Village Shopping Center,eb,Right,37
6/25/2025,Village Shopping Center,eb,Left,1144
6/26/2025,Village Shopping Center,eb,Right,57
6/26/2025,Village Shopping Center,eb,Left,1129
6/27/2025,Village Shopping Center,eb,Right,40
