local_datetime,segment_id,direction,volume
6/3/2025,Washington and Village Shopping Center,sb,
6/4/2025,Washington and Village Shopping Center,sb,
6/5/2025,Washington and Village Shopping Center,sb,
6/6/2025,Washington and Village Shopping Center,sb,
6/7/2025,Washington and Village Shopping Center,sb,
6/8/2025,Washington and Village Shopping Center,sb,
6/9/2025,Washington and Village Shopping Center,sb,
6/10/2025,Washington and Village Shopping Center,sb,
6/11/2025,Washington and Village Shopping Center,sb,
6/12/2025,Washington and Village Shopping Center,sb,
6/13/2025,Washington and Village Shopping Center,sb,
6/14/2025,Washington and Village Shopping Center,sb,
6/15/2025,Washington and Village Shopping Center,sb,
6/16/2025,Washington and Village Shopping Center,sb,
6/17/2025,Washington and Village Shopping Center,sb,0
6/18/2025,Washington and Village Shopping Center,sb,6
6/19/2025,Washington and Village Shopping Center,sb,4
6/20/2025,Washington and Village Shopping Center,sb,2
6/21/2025,Washington and Village Shopping Center,sb,3
6/22/2025,Washington and Village Shopping Center,sb,0
6/23/2025,Washington and Village Shopping Center,sb,3
6/24/2025,Washington and Village Shopping Center,sb,6
6/25/2025,Washington and Village Shopping Center,sb,9
6/26/2025,Washington and Village Shopping Center,sb,8
6/27/2025,Washington and Village Shopping Center,sb,5
6/28/2025,Washington and Village Shopping Center,sb,6
6/29/2025,Washington and Village Shopping Center,sb,3
6/30/2025,Washington and Village Shopping Center,sb,3
6/1/2025,Washington and Village Shopping Center,nb,
6/2/2025,Washington and Village Shopping Center,nb,
6/3/2025,Washington and Village Shopping Center,nb,
6/4/2025,Washington and Village Shopping Center,nb,
6/5/2025,Washington and Village Shopping Center,nb,
6/6/2025,Washington and Village Shopping Center,nb,
6/7/2025,Washington and Village Shopping Center,nb,
6/8/2025,Washington and Village Shopping Center,nb,
6/9/2025,Washington and Village Shopping Center,nb,
6/10/2025,Washington and Village Shopping Center,nb,
6/11/2025,Washington and Village Shopping Center,nb,
6/12/2025,Washington and Village Shopping Center,nb,
6/13/2025,Washington and Village Shopping Center,nb,
6/14/2025,Washington and Village Shopping Center,nb,
6/15/2025,Washington and Village Shopping Center,nb,
6/16/2025,Washington and Village Shopping Center,nb,
6/17/2025,Washington and Village Shopping Center,nb,15
6/18/2025,Washington and Village Shopping Center,nb,23
6/19/2025,Washington and Village Shopping Center,nb,25
6/20/2025,Washington and Village Shopping Center,nb,23
6/21/2025,Washington and Village Shopping Center,nb,13
6/22/2025,Washington and Village Shopping Center,nb,20
6/23/2025,Washington and Village Shopping Center,nb,42
6/24/2025,Washington and Village Shopping Center,nb,59
6/25/2025,Washington and Village Shopping Center,nb,74
6/26/2025,Washington and Village Shopping Center,nb,73
6/27/2025,Washington and Village Shopping Center,nb,81
