local_datetime,average_delay,average_traveltime,average_speed,corridor_id,direction,corridor_name
9/8/2024 21:00,0.17,1.11,27.2,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 22:00,0.19,1.11,26.7,adamsst_to_washingtonst,WB,Avenue47
9/8/2024 23:00,0.04,0.97,30.5,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 0:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 1:00,0.02,0.96,31,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 2:00,0,0.96,30.9,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 3:00,0.01,0.92,32,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 4:00,0,0.86,34.2,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 5:00,0.01,0.86,34.3,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 6:00,0.11,1,30.5,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 7:00,0.18,1.13,27.2,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 8:00,0.46,1.46,20.6,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 9:00,0.33,1.34,22.9,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 10:00,0.2,1.2,25,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 11:00,0.09,1.07,27.5,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 12:00,0.25,1.23,24.5,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 13:00,0.17,1.19,25.4,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 14:00,0.24,1.24,24,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 15:00,0.25,1.27,23.5,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 16:00,0.56,1.54,20,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 17:00,0.13,1.14,25.8,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 18:00,0.36,1.3,23.3,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 19:00,0.36,1.33,22.6,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 20:00,0.42,1.4,21.2,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 21:00,0.04,0.98,30.2,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 22:00,0.04,0.97,30.8,adamsst_to_washingtonst,WB,Avenue47
9/9/2024 23:00,0.01,0.9,32.8,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 0:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 1:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 2:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 3:00,0.02,0.94,31.6,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 4:00,0,0.87,33.8,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 5:00,0.02,0.96,30.8,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 6:00,0.02,0.99,29.8,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 7:00,0.21,1.19,25.3,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 8:00,0.42,1.44,20.9,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 9:00,0.56,1.58,18.8,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 10:00,0.37,1.41,21.4,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 11:00,0.27,1.31,23.1,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 12:00,0.38,1.38,21.5,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 13:00,0.21,1.19,25,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 14:00,0.58,1.59,18.6,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 15:00,0.43,1.42,20.9,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 16:00,0.29,1.28,24.1,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 17:00,0.32,1.26,23.8,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 18:00,0.24,1.19,25.5,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 19:00,0.42,1.42,21.6,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 20:00,0.15,1.07,28.7,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 21:00,0.13,1.1,27.1,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 22:00,0.09,1.07,27.9,adamsst_to_washingtonst,WB,Avenue47
9/10/2024 23:00,0.02,0.95,31,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 0:00,0,0.88,33.6,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 1:00,0.02,0.92,32,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 2:00,0,0.87,33.9,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 3:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 4:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 5:00,0.01,0.89,33.2,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 6:00,0.01,0.92,32.2,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 7:00,0.13,1.11,27.4,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 8:00,0.56,1.56,19.5,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 9:00,0.35,1.34,23.2,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 10:00,0.23,1.2,25.5,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 11:00,0.11,1.12,26.6,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 12:00,0.35,1.33,22.7,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 13:00,0.13,1.11,27,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 14:00,0.21,1.18,25.9,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 15:00,0.29,1.29,23.4,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 16:00,0.71,1.74,17.6,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 17:00,0.49,1.51,21.1,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 18:00,0.21,1.22,24.6,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 19:00,0.28,1.32,22.8,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 20:00,0.27,1.22,24.6,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 21:00,0.04,0.99,30,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 22:00,0.07,1.02,29.3,adamsst_to_washingtonst,WB,Avenue47
9/11/2024 23:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 0:00,0.16,1.07,28.1,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 1:00,0.06,0.96,31.4,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 2:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 3:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 4:00,0,0.87,33.9,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 5:00,0.1,1.02,30.4,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 6:00,0.3,1.32,22.5,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 7:00,0.08,1.06,28.2,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 8:00,0.23,1.25,24.5,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 9:00,0.32,1.34,22.1,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 10:00,0.18,1.18,26.1,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 11:00,0.31,1.36,22.1,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 12:00,0.49,1.5,19.8,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 13:00,0.42,1.44,20.7,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 14:00,0.18,1.13,26.7,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 15:00,0.2,1.21,25,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 16:00,0.68,1.68,17.7,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 17:00,0.65,1.65,18.3,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 18:00,0.31,1.3,24,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 19:00,0.36,1.37,22,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 20:00,0.57,1.59,18.6,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 21:00,0.38,1.38,21.6,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 22:00,0.1,1.04,29.5,adamsst_to_washingtonst,WB,Avenue47
9/12/2024 23:00,0.14,1.08,28.3,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 0:00,0.14,1.02,29.6,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 1:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 2:00,0,0.88,33.6,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 3:00,0.01,0.92,32.2,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 4:00,0,0.87,34,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 5:00,0,0.89,33.3,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 6:00,0.05,0.99,30,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 7:00,0.17,1.13,27.4,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 8:00,0.43,1.42,21.1,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 9:00,0.35,1.35,22.1,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 10:00,0.45,1.44,20.5,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 11:00,0.37,1.37,21.7,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 12:00,0.35,1.38,21.5,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 13:00,0.32,1.36,21.7,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 14:00,0.37,1.36,22.1,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 15:00,0.42,1.43,21,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 16:00,0.56,1.56,19.2,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 17:00,0.36,1.34,22.3,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 18:00,0.19,1.23,24,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 19:00,0.4,1.38,21.8,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 20:00,0.23,1.23,24.3,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 21:00,0.16,1.16,25.4,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 22:00,0.09,1.05,28.2,adamsst_to_washingtonst,WB,Avenue47
9/13/2024 23:00,0.12,1.06,28,adamsst_to_washingtonst,WB,Avenue47
9/14/2024 0:00,0.01,0.9,33,adamsst_to_washingtonst,WB,Avenue47
